name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats,torque1,torque2
Maruti Swift VXI Optional,2017,600000,24522,Petrol,Dealer,Manual,First Owner,20.4,1197.0,81.8,5.0,113,4200
BMW 3 Series 320d,2017,3200000,13663,Diesel,Dealer,Automatic,First Owner,22.69,1995.0,190.0,5.0,400,1750
Skoda Octavia Style Plus 2.0 TDI AT,2019,2600000,11000,Diesel,Dealer,Automatic,First Owner,19.3,1968.0,141.0,5.0,320,1750
Maruti Vitara Brezza ZDi Plus,2016,839000,63000,Diesel,Dealer,Manual,First Owner,24.3,1248.0,88.5,5.0,200,1750
Volkswagen Polo 1.2 MPI Comfortline,2019,635000,2000,Petrol,Dealer,Manual,First Owner,16.2,1199.0,74.0,5.0,110,3000
Mahindra Scorpio VLX 2WD AIRBAG BSIV,2014,550000,300000,Diesel,Individual,Manual,Third Owner,12.05,2179.0,120.0,8.0,290,1800
Mahindra Logan Diesel 1.5 DLE,2011,180000,190000,Diesel,Individual,Manual,Third Owner,19.2,1461.0,65.0,5.0,,2000
Honda City i DTEC E,2015,650000,80000,Diesel,Individual,Manual,First Owner,26.0,1498.0,98.6,5.0,200,1750
Honda Jazz Select Edition Active,2011,350000,80000,Petrol,Individual,Manual,Second Owner,16.0,1198.0,90.0,5.0,110(11.,4800
Maruti Alto K10 LXI,2015,265000,54000,Petrol,Individual,Manual,First Owner,23.95,998.0,67.05,5.0,90,3500
Renault KWID 1.0 RXT Optional,2018,330000,30000,Petrol,Individual,Manual,First Owner,23.01,999.0,67.0,5.0,91,4250
Maruti Eeco 7 Seater Standard BSIV,2019,395000,5000,Petrol,Individual,Manual,First Owner,15.37,1196.0,73.0,7.0,101,3000
Mahindra TUV 300 T8,2015,700000,58945,Diesel,Individual,Manual,First Owner,18.49,1493.0,100.0,7.0,240,1600
Ford Figo Diesel Titanium,2012,300000,90000,Diesel,Individual,Manual,First Owner,20.0,1399.0,68.0,5.0,160,2000
Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,2011,650000,375000,Diesel,Individual,Manual,First Owner,12.8,2494.0,102.0,8.0,20,1400
Maruti Ertiga VDI,2013,625000,160000,Diesel,Individual,Manual,Third Owner,20.77,1248.0,88.76,7.0,200,1750
Volkswagen Polo GT TDI,2014,425000,80000,Diesel,Individual,Manual,Second Owner,15.11,1598.0,103.6,5.0,250,1500
Maruti 800 AC BSII,2004,55000,50000,Petrol,Individual,Manual,Third Owner,16.1,796.0,37.0,4.0,59,2500
Tata Indigo CS LX (TDI) BS-III,2015,250000,80000,Diesel,Individual,Manual,Second Owner,19.09,1405.0,69.01,5.0,135,2500
Mahindra Bolero 2011-2019 Plus AC,2015,459999,156975,Diesel,Individual,Manual,First Owner,15.96,2523.0,62.1,9.0,195,1440
Toyota Corolla Altis 1.4 DGL,2017,1594000,5000,Diesel,Individual,Manual,First Owner,21.43,1364.0,86.79,5.0,205,1800
Chevrolet Sail 1.2 LS ABS,2014,300000,50000,Petrol,Individual,Manual,First Owner,18.2,1199.0,82.4,5.0,108.5,5000
Ford EcoSport 1.5 TDCi Titanium BSIV,2018,950000,27620,Diesel,Dealer,Manual,First Owner,22.77,1498.0,98.59,5.0,205,1750
Mahindra Scorpio LX,2013,484999,120000,Diesel,Individual,Manual,First Owner,12.05,2179.0,120.0,9.0,290,1800
Mahindra Xylo E8,2009,161000,120000,Diesel,Individual,Manual,Third Owner,14.0,2498.0,112.0,8.0,260 Nm at 1800-2200 r,0
Hyundai i20 Active 1.2 S,2015,500000,58000,Petrol,Individual,Manual,First Owner,17.19,1197.0,81.86,5.0,114.73,4000
Nissan Sunny XV,2012,350000,50000,Petrol,Individual,Manual,First Owner,16.95,1498.0,97.7,5.0,134,4000
Maruti Ignis 1.2 AMT Alpha BSIV,2017,550000,40000,Petrol,Individual,Automatic,First Owner,20.89,1197.0,81.8,5.0,113,4200
Honda WR-V i-VTEC VX,2018,850000,7800,Petrol,Individual,Manual,First Owner,17.5,1199.0,88.7,5.0,110,4800
Maruti Alto 800 LXI,2016,240000,50000,Petrol,Individual,Manual,First Owner,22.74,796.0,47.3,5.0,69,3500
Ford Endeavour 2.5L 4X2 MT,2011,950000,68000,Diesel,Individual,Manual,First Owner,13.1,2499.0,141.0,7.0,330,1800
Maruti Ertiga VXI,2015,423000,60000,Petrol,Individual,Manual,Second Owner,16.02,1373.0,93.7,7.0,130,4000
Tata Indigo GLS,2005,90000,74000,Petrol,Individual,Manual,Second Owner,12.8,1396.0,85.0,5.0,,3000
Tata New Safari DICOR 2.2 VX 4x2 BS IV,2011,350000,58000,Diesel,Individual,Manual,Second Owner,13.93,2179.0,138.1,7.0,320,1700
Maruti A-Star Vxi,2011,170000,70000,Petrol,Individual,Manual,Third Owner,19.0,998.0,66.1,5.0,90,3500
Ford Figo Aspire 1.2 Ti-VCT Titanium Plus,2015,450000,70000,Petrol,Individual,Manual,First Owner,18.16,1196.0,86.8,5.0,112,4000
Hyundai i10 Magna,2009,150000,110000,Petrol,Individual,Manual,Second Owner,20.36,1197.0,78.9,5.0,111.7,4000
Hyundai Santro LP zipPlus,2002,75000,80000,Petrol,Individual,Manual,Third Owner,0.0,0.0,0.0,,0,0
Hyundai i20 Sportz 1.4 CRDi,2016,511000,80000,Diesel,Individual,Manual,First Owner,22.54,1396.0,88.73,5.0,219.7,1500
Maruti Ertiga 1.5 VDI,2018,850000,59000,Diesel,Individual,Manual,First Owner,24.2,1498.0,93.87,7.0,225,1500
Tata Indica V2 eLS,2018,250000,110000,Diesel,Individual,Manual,First Owner,25.0,1396.0,69.0,5.0,140,1800
Maruti Celerio ZXI,2020,420000,25000,Petrol,Individual,Manual,First Owner,21.63,998.0,67.04,5.0,90,3500
Maruti Alto 800 LXI,2014,180000,55000,Petrol,Individual,Manual,First Owner,22.74,796.0,47.3,5.0,69,3500
Maruti Celerio ZDi,2015,400000,25000,Diesel,Individual,Manual,First Owner,27.62,793.0,47.0,5.0,125,2000
Mahindra Xylo E4,2009,150000,300000,Diesel,Individual,Manual,First Owner,14.0,2498.0,112.0,7.0,260 Nm at 1800-2200 r,0
Ford Figo 1.5D Titanium MT,2016,500000,143200,Diesel,Individual,Manual,First Owner,25.83,1498.0,99.0,5.0,215,1750
Jeep Compass 2.0 Longitude Option BSIV,2017,1689999,60000,Diesel,Individual,Manual,First Owner,17.1,1956.0,170.0,5.0,350,1750
Nissan Micra Diesel XV Premium,2012,204999,120000,Diesel,Individual,Manual,First Owner,23.08,1461.0,63.1,5.0,160,2000
Maruti Ciaz VDi Plus,2014,459999,145000,Diesel,Individual,Manual,Second Owner,26.21,1248.0,88.5,5.0,200,1750
Hyundai i20 2015-2017 Magna 1.2,2017,600000,30000,Petrol,Individual,Manual,First Owner,18.6,1197.0,81.83,5.0,114.7,4000
Hyundai Grand i10 1.2 Kappa Sportz Dual Tone,2019,585000,8000,Petrol,Individual,Manual,First Owner,18.9,1197.0,81.86,5.0,113.75,4000
Ford Endeavour 2.5L 4X2 MT,2012,551000,170000,Diesel,Individual,Manual,First Owner,13.1,2499.0,141.0,7.0,330,1800
Maruti Swift Dzire LDI,2013,525000,100000,Diesel,Individual,Manual,First Owner,23.4,1248.0,74.0,5.0,190,2000
Maruti Omni 8 Seater BSIV,2012,160000,62000,Petrol,Individual,Manual,First Owner,14.0,796.0,35.0,5.0,6.1k,3000
Mahindra XUV500 W8 AWD,2014,825000,110000,Diesel,Individual,Manual,First Owner,15.1,2179.0,140.0,7.0,330,1600
Hyundai Santro Xing GL CNG,2007,127000,137000,CNG,Individual,Manual,First Owner,0.0,0.0,0.0,,0,0
Chevrolet Tavera Neo 3 LS 9 Str BSIII,2015,600000,80000,Diesel,Individual,Manual,Second Owner,13.58,2499.0,72.4,9.0,171,1800
Maruti Zen Base,2002,65000,80000,Petrol,Individual,Manual,Second Owner,17.3,993.0,60.0,5.0,78,4500
Maruti Swift Dzire VDI,2013,550000,100000,Diesel,Individual,Manual,First Owner,23.4,1248.0,74.0,5.0,190,2000
Mahindra Bolero 2011-2019 Plus - AC BSIII,2015,650000,120000,Diesel,Individual,Manual,First Owner,15.96,2523.0,63.0,9.0,180,1440
Maruti Swift Dzire VDI,2019,750000,24000,Diesel,Individual,Manual,First Owner,28.4,1248.0,74.02,5.0,190,2000
Mahindra KUV 100 mFALCON D75 K8,2017,380000,80000,Diesel,Individual,Manual,First Owner,25.32,1198.0,77.0,6.0,190,1750
Hyundai Verna 1.6 SX CRDi (O),2012,400000,138000,Diesel,Individual,Manual,First Owner,22.32,1582.0,126.32,5.0,259.8,1900
Maruti Wagon R LXI,2003,50000,147000,Petrol,Individual,Manual,Fourth & Above Owner,18.9,998.0,67.1,5.0,90,3500
Mahindra TUV 300 mHAWK100 T8 Dual Tone,2017,750000,60000,Diesel,Individual,Manual,First Owner,18.49,1493.0,100.0,7.0,240,1600
Chevrolet Spark 1.0 LS,2011,150000,80000,Petrol,Individual,Manual,First Owner,18.0,995.0,62.0,5.0,90.3,4200
Maruti Alto 800 LXI,2016,245000,50000,Petrol,Individual,Manual,First Owner,22.74,796.0,47.3,5.0,69,3500
Tata Manza Club Class Quadrajet90 VX,2013,260000,189000,Diesel,Individual,Manual,First Owner,21.02,1248.0,88.76,5.0,200,1750
Volkswagen Vento 1.5 TDI Highline AT,2014,411000,90000,Diesel,Individual,Automatic,Second Owner,21.21,1498.0,103.2,5.0,250,1500
Hyundai i20 Sportz 1.4 CRDi,2014,450000,56000,Diesel,Individual,Manual,First Owner,21.9,1396.0,88.76,5.0,219.6,1750
BMW 3 Series 320d Luxury Line,2012,1300000,140000,Diesel,Individual,Automatic,Second Owner,18.88,1995.0,184.0,5.0,380,1750
Maruti Celerio VXI,2016,351000,60000,Petrol,Individual,Manual,First Owner,23.1,998.0,67.04,5.0,90,3500
Mahindra XUV500 W8 4WD,2012,550000,130000,Diesel,Individual,Manual,First Owner,15.1,2179.0,140.0,7.0,330,1600
BMW 3 Series 320d Luxury Plus,2013,1300000,140000,Diesel,Individual,Automatic,Second Owner,18.88,1995.0,184.0,5.0,380,1750
Tata Manza Club Class Quadrajet90 VX,2013,260000,189000,Diesel,Individual,Manual,First Owner,21.02,1248.0,88.76,5.0,200,1750
Volkswagen Vento 1.5 TDI Highline AT,2014,411000,90000,Diesel,Individual,Automatic,Second Owner,21.21,1498.0,103.2,5.0,250,1500
Hyundai i20 Sportz 1.4 CRDi,2014,450000,56000,Diesel,Individual,Manual,First Owner,21.9,1396.0,88.76,5.0,219.6,1750
BMW 3 Series 320d Luxury Line,2012,1300000,140000,Diesel,Individual,Automatic,Second Owner,18.88,1995.0,184.0,5.0,380,1750
Maruti Celerio VXI,2016,351000,60000,Petrol,Individual,Manual,First Owner,23.1,998.0,67.04,5.0,90,3500
Mahindra XUV500 W8 4WD,2012,550000,130000,Diesel,Individual,Manual,First Owner,15.1,2179.0,140.0,7.0,330,1600
BMW 3 Series 320d Luxury Plus,2013,1300000,140000,Diesel,Individual,Automatic,Second Owner,18.88,1995.0,184.0,5.0,380,1750
Nissan Terrano XE 85 PS,2016,750000,35000,Diesel,Individual,Manual,First Owner,20.45,1461.0,83.8,5.0,200,1900
Nissan Terrano XL 85 PS,2015,800000,35000,Diesel,Individual,Manual,First Owner,20.45,1461.0,83.8,5.0,200,1900
Tata New Safari DICOR 2.2 EX 4x2,2011,350000,156000,Diesel,Individual,Manual,First Owner,11.57,2179.0,138.1,7.0,320,1700
Maruti Alto 800 LX,2013,200000,90000,Petrol,Individual,Manual,First Owner,22.74,796.0,47.3,5.0,69,3500
Tata Indigo LS,2008,150000,60000,Diesel,Individual,Manual,Third Owner,17.0,1405.0,70.0,5.0,13,2000
Nissan Terrano XL 110 PS,2016,800000,36000,Diesel,Individual,Manual,First Owner,19.01,1461.0,108.5,5.0,248,2250
Hyundai EON Era Plus Sports Edition,2017,350000,20000,Petrol,Individual,Manual,Second Owner,21.1,814.0,55.2,5.0,74.5,4000
Tata New Safari DICOR 2.2 VX 4x2,2011,350000,160000,Diesel,Individual,Manual,First Owner,13.93,2179.0,138.0,7.0,320,1700
Mahindra Scorpio 2.6 Turbo 9 Str,2006,250000,185000,Diesel,Individual,Manual,First Owner,12.7,2609.0,116.6,9.0,28,1000
Tata Indica Vista Terra 1.4 TDI,2010,170000,110000,Diesel,Individual,Manual,Second Owner,17.0,1405.0,71.0,5.0,135,2500
Renault KWID RXT Optional,2018,395000,10800,Petrol,Individual,Manual,First Owner,25.17,799.0,53.3,5.0,72,4386
Mahindra Bolero 2011-2019 SLE,2012,450000,120000,Diesel,Individual,Manual,First Owner,15.96,2523.0,62.1,7.0,195,1400
Maruti Ignis 1.2 Delta BSIV,2019,500000,15000,Petrol,Individual,Manual,First Owner,20.89,1197.0,81.8,5.0,113,4200
Tata Sumo EX 10/7 Str BSIII,2012,200000,67500,Diesel,Individual,Manual,First Owner,12.2,1948.0,68.0,10.0,1,2000
Tata Hexa XM,2017,1200000,30000,Diesel,Individual,Manual,First Owner,17.6,2179.0,153.86,7.0,400,1750
Mahindra KUV 100 mFALCON D75 K8,2016,400000,50000,Diesel,Individual,Manual,First Owner,25.32,1198.0,77.0,6.0,190,1750
Mahindra TUV 300 T8,2016,650000,100000,Diesel,Individual,Manual,First Owner,18.49,1493.0,100.0,7.0,240,1600
Mahindra Bolero 2011-2019 DI - AC BS III,2016,550000,150000,Diesel,Individual,Manual,First Owner,15.96,2523.0,63.0,9.0,180,1440
Mahindra XUV500 W10 2WD,2015,1100000,110000,Diesel,Individual,Manual,First Owner,16.0,2179.0,140.0,7.0,330,1600
Maruti Alto 800 LXI,2012,254999,30000,Petrol,Individual,Manual,First Owner,22.74,796.0,47.3,5.0,69,3500
Maruti Alto LXi,2011,180000,60000,Petrol,Individual,Manual,First Owner,19.7,796.0,46.3,5.0,62,3000
Mahindra Xylo D2,2010,160000,255000,Diesel,Individual,Manual,Second Owner,13.0,2489.0,95.0,8.0,220Nm at 1400-2600 r,0
Chevrolet Optra Magnum 2.0 LT BS3,2008,225000,120000,Diesel,Individual,Manual,Second Owner,16.52,1991.0,123.7,5.0,305,2000
Maruti Alto 800 LXI,2015,270000,49900,Petrol,Individual,Manual,Second Owner,22.74,796.0,47.3,5.0,69,3500
Tata Manza Aura Quadrajet BS IV,2012,310000,86000,Diesel,Individual,Manual,First Owner,21.12,1248.0,88.8,5.0,200,1750
Datsun GO T BSIV,2015,225000,71850,Petrol,Individual,Manual,First Owner,20.63,1198.0,67.0,5.0,104,4000
Fiat Grande Punto EVO 1.3 Dynamic,2015,300000,95000,Diesel,Individual,Manual,Third Owner,21.2,1248.0,75.0,5.0,197,1750
Maruti Swift Dzire VXi,2008,250000,70000,Petrol,Individual,Manual,Fourth & Above Owner,17.5,1298.0,85.8,5.0,114,4000
Hyundai EON Sportz,2011,180000,35000,Petrol,Individual,Manual,First Owner,21.1,814.0,55.2,5.0,74.5,4000
Maruti Swift Dzire VXI,2015,550000,50000,Petrol,Individual,Manual,First Owner,20.85,1197.0,83.14,5.0,115,4000
Mahindra Bolero XL 10 Seater Non AC,2007,300000,120000,Diesel,Individual,Manual,Third Owner,13.6,2523.0,63.0,7.0,180 Nm at 1440-1500r,0
Hyundai Elantra CRDi SX,2015,900000,145000,Diesel,Individual,Manual,First Owner,22.7,1582.0,126.2,5.0,259.88,1900
Tata Sumo EX BS IV,2012,254999,190000,Diesel,Individual,Manual,Third Owner,0.0,0.0,0.0,,0,0
Mahindra XUV500 W9 2WD,2018,1530000,40000,Diesel,Individual,Manual,First Owner,16.0,2179.0,138.0,7.0,330,1600
Maruti Baleno Delta 1.3,2015,590000,110000,Diesel,Individual,Manual,First Owner,27.39,1248.0,74.0,5.0,190,2000
Maruti Wagon R LXI DUO BSIII,2008,170000,112000,LPG,Individual,Manual,Second Owner,17.3,1061.0,57.5,5.0,7,4000
Audi A3 35 TDI Premium Plus,2017,2600000,70000,Diesel,Individual,Automatic,First Owner,20.38,1968.0,143.0,5.0,320,1750
Maruti Ritz VDi,2016,475000,110000,Diesel,Individual,Manual,First Owner,23.2,1248.0,73.94,5.0,190,2000
Hyundai Grand i10 1.2 CRDi Asta,2018,700000,29000,Diesel,Individual,Manual,First Owner,24.0,1186.0,73.97,5.0,190.24,1750
Maruti Wagon R VXI BS IV,2011,376000,60000,Petrol,Individual,Manual,First Owner,18.9,998.0,67.1,5.0,90,3500
Hyundai Santro GS zipDrive - Euro I,2002,100000,120000,Petrol,Individual,Manual,Fourth & Above Owner,0.0,0.0,0.0,,0,0
Maruti 800 Std BSII,2004,75000,46000,Petrol,Individual,Manual,Fourth & Above Owner,16.1,796.0,37.0,4.0,59,2500
Mahindra Scorpio VLS AT 2.2 mHAWK,2012,440000,120000,Diesel,Individual,Automatic,Third Owner,11.79,2179.0,120.0,8.0,290,1800
Maruti Wagon R VXI Optional,2016,390000,80000,Petrol,Individual,Manual,First Owner,20.51,998.0,67.04,5.0,90,3500
Toyota Innova 2.5 VX 7 STR,2012,725000,159000,Diesel,Individual,Manual,Second Owner,12.8,2494.0,102.0,7.0,20,1400
Mahindra Bolero 2011-2019 SLE,2012,325000,110000,Diesel,Individual,Manual,Second Owner,15.96,2523.0,62.1,7.0,195,1400
Maruti Alto LXi,2010,170000,75000,Petrol,Individual,Manual,Second Owner,19.7,796.0,46.3,5.0,62,3000
Maruti Swift Dzire LDi,2010,215000,120000,Diesel,Individual,Manual,Third Owner,19.3,1248.0,73.9,5.0,190,2000
Honda City 1.5 V Inspire,2010,350000,110000,Petrol,Individual,Manual,Third Owner,17.0,1497.0,118.0,5.0,146Nm at 4800 r,0
Chevrolet Spark 1.0 LS,2009,80000,80000,Petrol,Individual,Manual,Fourth & Above Owner,18.0,995.0,62.0,5.0,90.3,4200
Hyundai EON Magna Plus,2012,195000,80000,Petrol,Individual,Manual,Second Owner,21.1,814.0,55.2,5.0,74.5,4000
Maruti Swift VDI BSIV W ABS,2011,280000,85000,Diesel,Individual,Manual,First Owner,0.0,0.0,0.0,,0,0
Nissan Sunny Diesel XL,2014,335000,71000,Diesel,Dealer,Manual,First Owner,21.64,1461.0,84.8,5.0,200,2000
Mahindra XUV500 W6 2WD,2011,475000,108000,Diesel,Dealer,Manual,First Owner,16.0,2179.0,140.0,7.0,330,1600
Renault Duster 85PS Diesel RxL,2015,484999,75000,Diesel,Dealer,Manual,First Owner,19.87,1461.0,83.8,5.0,200,1750
Maruti Ciaz Delta BSIV,2018,650000,22000,Petrol,Individual,Manual,Second Owner,21.56,1462.0,103.25,5.0,138,4400
Audi Q5 3.0 TDI Quattro,2014,1850000,76131,Diesel,Individual,Automatic,First Owner,13.22,2967.0,241.4,5.0,580,1400
Hyundai i20 1.2 Asta,2018,700000,30000,Petrol,Individual,Manual,Second Owner,18.6,1197.0,81.83,5.0,114.7,4000
Audi Q7 3.0 TDI Quattro,2014,3000000,65000,Diesel,Individual,Automatic,First Owner,12.07,2967.0,241.4,7.0,550,1750
Mahindra Scorpio S3 9 Seater BSIV,2018,900000,60000,Diesel,Individual,Manual,First Owner,15.4,2523.0,75.0,7.0,200,1400
Volkswagen Polo Diesel Highline 1.2L,2013,350000,80000,Diesel,Individual,Manual,First Owner,22.07,1199.0,73.9,5.0,180,2000
Honda Accord V6 AT,2005,285000,80000,Petrol,Individual,Automatic,Second Owner,9.0,2997.0,218.0,5.0,196,5000
Audi Q7 3.0 TDI Quattro Premium Plus,2012,1850000,70000,Diesel,Individual,Automatic,First Owner,12.07,2967.0,241.4,7.0,550,1750
Maruti Vitara Brezza VDi,2017,750000,51777,Diesel,Dealer,Manual,First Owner,24.3,1248.0,88.5,5.0,200,1750
Land Rover Freelander 2 TD4 HSE,2013,1650000,64788,Diesel,Dealer,Automatic,First Owner,0.0,2179.0,115.0,5.0,400 Nm /2000 r,0
Honda Amaze V Petrol BSIV,2018,600000,20000,Petrol,Individual,Manual,First Owner,19.5,1199.0,88.76,5.0,110,4800
Volkswagen Polo 2015-2019 1.0 MPI Comfortline,2018,565000,19000,Petrol,Individual,Manual,First Owner,18.78,999.0,75.0,5.0,95,3000
Daewoo Matiz SS,2000,86000,46951,Petrol,Individual,Manual,First Owner,18.5,796.0,53.0,5.0,71,3500
Datsun GO T BSIV,2016,329000,19000,Petrol,Individual,Manual,First Owner,20.63,1198.0,67.0,5.0,104,4000
Ford EcoSport 1.5 TDCi Titanium Plus BSIV,2016,650000,50000,Diesel,Individual,Manual,First Owner,22.77,1498.0,98.59,5.0,205,1750
Hyundai Creta 1.6 CRDi SX Option,2015,822000,60000,Diesel,Individual,Manual,First Owner,19.67,1582.0,126.2,5.0,259.9,1900
Renault Duster 110PS Diesel RxL,2013,345000,100000,Diesel,Individual,Manual,Second Owner,19.01,1461.0,108.45,5.0,248,2250
Maruti Zen LXI,2001,30000,10000,Petrol,Individual,Manual,First Owner,17.3,993.0,60.0,5.0,78,4500
Maruti Swift VDI,2012,330000,50000,Diesel,Individual,Manual,Second Owner,22.9,1248.0,74.0,5.0,190,2000
Maruti Wagon R Stingray VXI,2014,300000,74537,Petrol,Individual,Manual,Second Owner,20.51,998.0,67.04,5.0,90,3500
Maruti SX4 ZXI AT,2009,200000,90000,Petrol,Individual,Automatic,Second Owner,12.6,1586.0,103.3,5.0,145,4100
Tata Indica Vista Aqua 1.3 Quadrajet (ABS),2012,200000,80000,Diesel,Individual,Manual,Second Owner,0.0,0.0,0.0,,0,0
Chevrolet Spark 1.0,2010,90000,70000,Petrol,Individual,Manual,Second Owner,18.0,995.0,62.0,5.0,90.3,4200
Maruti Wagon R VXI Minor,2010,200000,80000,Petrol,Individual,Manual,Second Owner,18.9,1061.0,67.0,5.0,84,3500
Hyundai Xcent 1.1 CRDi SX,2016,550000,35000,Diesel,Individual,Manual,First Owner,24.4,1120.0,71.0,5.0,180.4,1750
Chevrolet Beat LT,2015,250000,23500,Petrol,Individual,Manual,First Owner,18.6,1199.0,76.8,5.0,106.5,4400
Honda City i-DTEC VX,2017,975000,82000,Diesel,Individual,Manual,First Owner,25.6,1498.0,97.9,5.0,200,1750
Toyota Innova 2.5 G (Diesel) 8 Seater,2014,900000,100000,Diesel,Individual,Manual,Second Owner,12.99,2494.0,100.6,8.0,200,1200
Hyundai i20 1.2 Spotz,2018,610000,15000,Petrol,Individual,Manual,First Owner,18.6,1197.0,81.83,5.0,114.7,4000
Maruti Baleno Zeta 1.3,2017,620000,30000,Diesel,Individual,Manual,First Owner,27.39,1248.0,74.0,5.0,190,2000
Hyundai Grand i10 Sportz,2016,400000,30000,Petrol,Individual,Manual,First Owner,18.9,1197.0,82.0,5.0,114,4000
Maruti Celerio X ZXI BSIV,2019,500000,11000,Petrol,Individual,Manual,First Owner,21.63,998.0,67.0,5.0,90,3500
Datsun GO Plus T,2017,200000,140000,Petrol,Individual,Manual,First Owner,19.02,1198.0,67.05,7.0,104,4000
Tata Zest Quadrajet 1.3 XM,2016,360000,110000,Diesel,Individual,Manual,First Owner,23.0,1248.0,88.7,5.0,200,1750
Maruti Alto K10 2010-2014 VXI,2012,252000,48000,Petrol,Individual,Manual,First Owner,20.92,998.0,67.1,5.0,90,3500
Maruti Swift VDI,2012,280000,70000,Diesel,Individual,Manual,Second Owner,22.9,1248.0,74.0,5.0,190,2000
Maruti Swift VXI 2018,2018,509999,70000,Petrol,Individual,Manual,Second Owner,22.0,1197.0,81.8,5.0,113,4200
Mahindra Scorpio 1.99 S6 Plus,2016,1050000,58000,Diesel,Individual,Manual,First Owner,15.4,1997.0,120.0,7.0,280,1800
Maruti Wagon R LXI DUO BSIII,2010,200000,40000,LPG,Individual,Manual,Fourth & Above Owner,17.3,1061.0,57.5,5.0,7,4000
Maruti Zen LXI,2005,60000,90000,Petrol,Individual,Manual,Second Owner,17.3,993.0,60.0,5.0,78,4500
Mahindra Xylo E8 ABS Airbag,2010,320000,40000,Diesel,Individual,Manual,Second Owner,14.0,2498.0,112.0,7.0,260 Nm at 1800-2200 r,0
Mahindra Scorpio LX,2013,520000,110000,Diesel,Individual,Manual,First Owner,12.05,2179.0,120.0,9.0,290,1800
Tata New Safari DICOR 2.2 LX 4x2,2007,250000,80000,Diesel,Individual,Manual,Second Owner,11.57,2179.0,138.1,7.0,320,1700
Maruti Vitara Brezza ZDi,2017,725000,60000,Diesel,Individual,Manual,First Owner,24.3,1248.0,88.5,5.0,200,1750
Mahindra Bolero 2011-2019 SLX,2015,585000,50000,Diesel,Individual,Manual,First Owner,15.96,2523.0,62.1,7.0,195,1400
Tata Tiago 1.2 Revotron XZ,2017,430000,25000,Petrol,Individual,Manual,First Owner,23.84,1199.0,84.0,5.0,114,3500
Maruti Swift VDI,2011,235000,100000,Diesel,Individual,Manual,Second Owner,22.9,1248.0,74.0,5.0,190,2000
Maruti Swift Dzire VDi,2012,350000,52000,Diesel,Individual,Manual,Third Owner,19.3,1248.0,73.9,5.0,190,2000
Hyundai i10 Era 1.1,2010,131000,80000,Petrol,Individual,Manual,Third Owner,19.81,1086.0,68.05,5.0,99.04,4500
Honda Amaze VX i-DTEC,2016,450000,85000,Diesel,Individual,Manual,First Owner,25.8,1498.0,98.6,5.0,200,1750
Maruti Vitara Brezza ZDi Plus,2016,750000,83000,Diesel,Individual,Manual,First Owner,24.3,1248.0,88.5,5.0,200,1750
Maruti Alto 800 LXI,2013,200000,50000,Petrol,Individual,Manual,First Owner,22.74,796.0,47.3,5.0,69,3500
Maruti Wagon R LXI Minor,2009,125000,120000,Petrol,Individual,Manual,Fourth & Above Owner,18.9,1061.0,67.0,5.0,84,3500
Mahindra Bolero 2011-2019 SLE,2014,500000,100000,Diesel,Individual,Manual,First Owner,15.96,2523.0,62.1,7.0,195,1400
Maruti Swift VDI,2012,380000,70000,Diesel,Individual,Manual,Third Owner,22.9,1248.0,74.0,5.0,190,2000
Maruti Alto LXi,2008,128000,19000,Petrol,Individual,Manual,First Owner,19.7,796.0,46.3,5.0,62,3000
Honda City 1.5 S MT,2009,250000,68600,Petrol,Individual,Manual,Third Owner,17.0,1497.0,118.0,5.0,146Nm at 4800 r,0
Mahindra Bolero Power Plus SLX,2017,690000,60000,Diesel,Individual,Manual,First Owner,16.5,1493.0,70.0,7.0,195,1400
Mahindra Bolero 2011-2019 SLX,2014,650000,65000,Diesel,Individual,Manual,Second Owner,15.96,2523.0,62.1,7.0,195,1400
Honda City E,2012,560000,40000,Petrol,Individual,Manual,Second Owner,16.8,1497.0,116.3,5.0,146,4800
Tata Indica Vista Aqua 1.3 Quadrajet (ABS),2012,120000,160000,Diesel,Individual,Manual,Second Owner,0.0,0.0,0.0,,0,0
Maruti Celerio VXI,2016,400000,25000,Petrol,Individual,Manual,First Owner,23.1,998.0,67.04,5.0,90,3500
Maruti Alto K10 LXI,2012,200000,29500,Petrol,Individual,Manual,First Owner,20.92,998.0,67.1,5.0,90,3500
Hyundai Verna VTVT 1.6 SX,2018,950000,13887,Petrol,Individual,Manual,First Owner,17.0,1591.0,121.3,5.0,151,4850
Maruti Alto 800 VXI,2016,300000,50000,Petrol,Individual,Manual,Second Owner,22.74,796.0,47.3,5.0,69,3500
Renault KWID RXL,2016,315000,30000,Petrol,Individual,Manual,Second Owner,25.17,799.0,53.3,5.0,72,4386
Maruti Alto 800 LXI,2012,220000,100000,Petrol,Individual,Manual,First Owner,22.74,796.0,47.3,5.0,69,3500
Chevrolet Aveo 1.4 LS,2011,130000,60000,Petrol,Individual,Manual,Second Owner,14.49,1399.0,92.7,5.0,127,3500
Hyundai i20 Sportz Option 1.4 CRDi,2016,595000,60000,Diesel,Individual,Manual,Second Owner,22.54,1396.0,88.73,5.0,219.7,1500
Tata Indica Vista TDI LS,2011,110000,120000,Diesel,Individual,Manual,First Owner,19.4,1405.0,70.0,5.0,135.4,2500
